ID,period,IWZ,Direction,1. number of days,2. number of events,3. number of daytime events,4. number of days when events happened,5. average duration of each event,6. median duration of each event,7. average queue length,8. average maximum queue length of each event,9. median maximum queue length of each event,10. max maximum queue length of each event,11.percentage of queue > 1 mile,12.amount of traffic that encounters a queue,13.total traffic per day,14.percentage of traffic that encounters a queue,15.percentage of time that encounters a queue,16.total delay,17.total delay per day,18.average delay per vehicle,19.maximum delay,20.total delay when queue is present,21.percentage of delay caused by queue,22.avg delay when queue is present,23.percent of vehicles experiencing delay > 5 min,24.percent of vehicles experiencing delay > 10 min,25.percent of vehicles in queue experiencing delay > 5 min,26.percent of vehicles in queue experiencing delay > 10 min
8,2016-04-25 to 2016-05-01,Group 5b and 5.4,2,7,11,3,6,5.454545,5,0.583333,0.554545,0.6,1.1,0.166667,206,9853,0.002982,0.005952,464.828088,66.404013,0.404372,1.6774,3.451534,0.007425,1.00693,0,0,0,0
9,2016-04-25 to 2016-05-01,Group 5f,2,7,10,1,6,5,5,0.32,0.32,0.25,1.1,0.1,67,5727.142857,0.001659,0.00496,301.645619,43.092231,0.451453,2.036039,1.22654,0.004066,1.106653,0,0,0,0
10,2016-04-25 to 2016-05-01,Group 5f,1,7,121,72,7,12.14876,5,0.464286,0.454545,0.3,1.9,0.095238,12123,8247.142857,0.209997,0.145833,1053.652446,150.521778,1.095093,3.090857,293.561779,0.278613,1.452917,0,0,0,0
11,2016-04-25 to 2016-05-01,Group 6 - 3.2 3a 3b - I29,1,7,72,34,7,22.152778,10,0.756113,0.6875,0.5,2.4,0.253918,13434,11934.42857,0.160802,0.158234,2141.452194,305.921742,1.538018,7.290281,533.541764,0.24915,2.383035,0.004391,0,0,0
12,2016-04-25 to 2016-05-01,Group 6 - 3.2 3a 3b - I29,2,7,218,141,7,13.990826,7.5,0.660164,0.613761,0.6,4.5,0.178689,30379,14326.28571,0.302925,0.302579,4197.142262,599.591752,2.511155,12.088751,1573.143265,0.374813,3.107085,0.016802,0.000254,0.000839,0.000839
13,2016-04-25 to 2016-05-01,Group 6 - 3.2 3a 3b - US20,1,7,1,1,1,10,10,0.15,0.2,0.2,0.2,0,132,10321.42857,0.001827,0.000992,188.01299,26.858999,0.156135,0.85889,1.135947,0.006042,0.51634,0,0,0,0
14,2016-04-25 to 2016-05-01,Group 6 - 3.2 3a 3b - US20,2,7,0,0,0,0,0,0,0,0,0,0,0,9927.142857,0,0,97.897234,13.985319,0.084528,0.773107,0,0,0,0,0,0,0
17,2016-04-25 to 2016-05-01,Group 6c,1,7,0,0,0,0,0,0,0,0,0,0,0,13586.85714,0,0,56.350787,8.050112,0.03555,0.4507,0,0,0,0,0,0,0
18,2016-04-25 to 2016-05-01,Group 6c,2,7,1,1,1,5,5,0.3,0.3,0.3,0.3,0,75,15228.85714,0.000701,0.000496,204.162432,29.166062,0.114911,0.426463,0.531302,0.002602,0.426463,0,0,0,0
19,2016-04-25 to 2016-05-01,Group 6e,1,7,31,11,5,21.129032,5,0.694656,0.86129,0.8,2.9,0.236641,11919,25365.14286,0.067128,0.06498,522.366766,74.623824,0.17652,4.645009,278.610416,0.533362,1.402536,0,0,0,0
20,2016-04-25 to 2016-05-01,Group 6e,2,7,9,1,3,6.111111,5,0.636364,0.677778,0.5,1.3,0.090909,407,26041.28571,0.002229,0.005456,95.944186,13.706312,0.03158,3.118262,11.302385,0.117802,1.669129,0,0,0,0
21,2016-04-25 to 2016-05-01,Group 6gh,1,7,0,0,0,0,0,0,0,0,0,0,0,30056.42857,0,0,711.564484,101.652069,0.202923,0.534501,0,0,0,0,0,0,0
22,2016-04-25 to 2016-05-01,Group 6gh,2,7,1,1,1,20,20,0.275,0.5,0.5,0.5,0,1046,29082.85714,0.005134,0.001984,707.368705,101.052672,0.208479,0.900445,10.756852,0.015207,0.617544,0,0,0,0
23,2016-04-25 to 2016-05-01,Group 8 - 6.2 - I74,1,7,145,33,7,51.068966,10,0.783525,0.312414,0.2,2.2,0.362593,149308,25092.71429,0.850034,0.734623,5011.61773,715.94539,1.711927,4.229665,4688.481774,0.935523,1.884097,0,0,0,0
