ID,period,IWZ,Direction,1. number of days,2. number of events,3. number of daytime events,4. number of days when events happened,5. average duration of each event,6. median duration of each event,7. average queue length,8. average maximum queue length of each event,9. median maximum queue length of each event,10. max maximum queue length of each event,11.percentage of queue > 1 mile,12.amount of traffic that encounters a queue,13.total traffic per day,14.percentage of traffic that encounters a queue,15.percentage of time that encounters a queue,16.total delay,17.total delay per day,18.average delay per vehicle,19.maximum delay,20.total delay when queue is present,21.percentage of delay caused by queue,22.avg delay when queue is present,23.percent of vehicles experiencing delay > 5 min,24.percent of vehicles experiencing delay > 10 min,25.percent of vehicles in queue experiencing delay > 5 min,26.percent of vehicles in queue experiencing delay > 10 min
ID,2016-10-17 to 2016-10-23,Group 6gh,2,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24388.714286,0.000000,0.000000,559.295612,79.899373,0.196566,0.428761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-10-17 to 2016-10-23,Group 8 - 6.2 - I74,1,7.000000,58.000000,52.000000,7.000000,14.741379,5.000000,0.226901,0.179310,0.100000,1.000000,0.000000,18878.000000,21123.857143,0.127669,0.084821,1178.353852,168.336265,0.478142,2.393715,211.834970,0.179772,0.673278,0.000000,0.000000,0.000000,0.000000
ID,2016-10-17 to 2016-10-23,Group 8 - 6.2 - I74,2,7.000000,213.000000,133.000000,7.000000,31.056338,10.000000,0.164928,0.184977,0.100000,1.600000,0.006047,94691.000000,19129.142857,0.707155,0.656250,1392.161376,198.880197,0.623806,7.722805,1047.228667,0.752232,0.663570,0.000143,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 1 - 1.3 - I80,1,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14764.000000,0.000000,0.000000,221.217643,36.869607,0.128431,1.402388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 1 - 1.3 - I80,2,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16728.285714,0.000000,0.000000,100.331217,16.721869,0.051409,1.504458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 1a,1,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 1a,2,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 1c,1,6.000000,1.000000,0.000000,1.000000,5.000000,5.000000,0.300000,0.300000,0.300000,0.300000,0.000000,3.000000,2914.571429,0.000108,0.000579,0.988822,0.164804,0.002908,0.746897,0.027386,0.027696,0.746897,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 1c,2,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3743.857143,0.000000,0.000000,5.493293,0.915549,0.012577,0.452696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 1q,1,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11692.857143,0.000000,0.000000,0.020884,0.003481,0.000015,0.008557,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 1q,2,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11986.428571,0.000000,0.000000,0.009419,0.001570,0.000007,0.015161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 1r,1,6.000000,3.000000,2.000000,3.000000,11.666667,10.000000,0.285714,0.300000,0.200000,0.500000,0.000000,615.000000,7550.428571,0.011627,0.004051,73.447952,12.241325,0.083381,0.856443,5.442463,0.074100,0.531404,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 1r,2,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7832.428571,0.000000,0.000000,16.277631,2.712939,0.017814,0.237754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 2a,1,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 2a,2,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 5 - 4.1 - I29,1,6.000000,88.000000,61.000000,6.000000,18.693182,5.000000,0.955015,0.311364,0.300000,2.700000,0.352584,16312.000000,11877.428571,0.196192,0.190394,1770.817812,295.136302,1.277930,9.804039,1017.898361,0.574818,3.744179,0.084521,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 5 - 4.1 - I29,2,6.000000,7.000000,1.000000,4.000000,10.000000,5.000000,0.685714,0.428571,0.100000,2.000000,0.285714,1084.000000,15056.428571,0.010277,0.008102,1682.048503,280.341417,0.957569,4.915437,54.267119,0.032263,3.006026,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 5 - 4.1 - I80,1,6.000000,2.000000,2.000000,1.000000,27.500000,27.500000,1.436364,1.550000,1.550000,2.700000,0.636364,1812.000000,17045.857143,0.015181,0.006366,1348.620836,224.770139,0.678148,6.339035,108.427761,0.080399,3.591597,0.004403,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 5 - 4.1 - I80,2,6.000000,5.000000,4.000000,3.000000,136.000000,10.000000,1.466912,0.900000,0.300000,2.700000,0.838235,12905.000000,19028.571429,0.096885,0.078704,1929.317220,321.552870,0.869068,12.588164,881.407198,0.456849,4.097980,0.020163,0.005196,0.053636,0.053636
ID,2016-10-24 to 2016-10-30,Group 5b and 5.4,1,6.000000,2.000000,0.000000,1.000000,5.000000,5.000000,0.250000,0.250000,0.250000,0.300000,0.000000,23.000000,7710.714286,0.000417,0.001157,662.549722,110.424954,0.736510,1.186790,0.333196,0.000503,0.888522,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 5b and 5.4,2,6.000000,4.000000,3.000000,3.000000,5.000000,5.000000,0.500000,0.500000,0.300000,1.100000,0.250000,247.000000,8155.857143,0.004312,0.002315,772.590305,128.765051,0.811961,2.477003,5.913473,0.007654,1.441334,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 5d,1,6.000000,59.000000,42.000000,2.000000,15.677966,10.000000,4.365946,4.074576,4.000000,5.600000,0.978378,2216.000000,3686.714286,0.085861,0.107060,589.725025,98.287504,1.371092,26.928312,441.565846,0.748766,11.956833,0.065859,0.027032,0.314830,0.314830
ID,2016-10-24 to 2016-10-30,Group 5d,2,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5015.285714,0.000000,0.000000,485.838946,80.973158,0.830347,1.799914,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 5f,1,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 5f,2,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 6 - 3.2 3a 3b - I29,1,6.000000,114.000000,70.000000,6.000000,7.763158,5.000000,0.184181,0.194737,0.200000,0.700000,0.000000,18913.000000,24529.857143,0.110143,0.102431,2581.932931,430.322155,0.902201,2.864322,352.089503,0.136367,1.116999,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 6 - 3.2 3a 3b - I29,2,6.000000,108.000000,49.000000,6.000000,13.379630,5.000000,0.496540,0.330556,0.200000,2.300000,0.141869,22712.000000,24184.285714,0.134160,0.167245,5060.534275,843.422379,1.793566,6.050539,975.404626,0.192747,2.576812,0.006847,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 6 - 3.2 3a 3b - US20,1,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28001.571429,0.000000,0.000000,412.119544,68.686591,0.126152,0.707961,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 6 - 3.2 3a 3b - US20,2,6.000000,7.000000,0.000000,2.000000,6.428571,5.000000,0.100000,0.100000,0.100000,0.100000,0.000000,71.000000,27279.285714,0.000368,0.005208,495.680346,82.613391,0.155748,0.889768,0.883588,0.001783,0.753772,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 6a,1,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 6a,2,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 6c,1,6.000000,3.000000,0.000000,1.000000,5.000000,5.000000,0.500000,0.500000,0.400000,1.000000,0.000000,13.000000,11907.428571,0.000154,0.001736,70.057275,11.676212,0.050430,2.095484,0.225413,0.003218,1.056623,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 6c,2,6.000000,1.000000,0.000000,1.000000,5.000000,5.000000,0.400000,0.400000,0.400000,0.400000,0.000000,2.000000,13176.285714,0.000022,0.000579,212.027106,35.337851,0.137928,0.872799,0.029093,0.000137,0.872799,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 6d,1,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6368.714286,0.000000,0.000000,5.097029,0.849505,0.006860,0.393903,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 6d,2,6.000000,8.000000,1.000000,1.000000,32.500000,17.500000,1.690385,1.087500,0.850000,3.800000,0.538462,2817.000000,6778.714286,0.059352,0.030093,320.806926,53.467821,0.405652,14.807788,307.254243,0.957754,6.545946,0.031422,0.019181,0.323171,0.323171
ID,2016-10-24 to 2016-10-30,Group 6e,1,6.000000,3.000000,1.000000,1.000000,10.000000,5.000000,1.766667,1.866667,1.600000,2.600000,0.833333,411.000000,14043.285714,0.004174,0.003472,17.254412,2.875735,0.010531,5.127730,15.502654,0.898475,2.267101,0.000895,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 6e,2,6.000000,3.000000,2.000000,2.000000,16.666667,20.000000,1.130000,1.366667,0.900000,2.700000,0.300000,1313.000000,15199.571429,0.012337,0.005787,43.770902,7.295150,0.024684,3.662984,37.099111,0.847575,1.695867,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 6gh,1,6.000000,2.000000,2.000000,1.000000,50.000000,50.000000,0.725000,0.600000,0.600000,1.100000,0.050000,3308.000000,21344.285714,0.022140,0.011574,491.106577,81.851096,0.197219,2.341049,79.146792,0.161160,1.435607,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 6gh,2,6.000000,1.000000,1.000000,1.000000,55.000000,55.000000,0.972727,1.400000,1.400000,1.400000,0.545455,1764.000000,20253.000000,0.012439,0.006366,562.883162,93.813860,0.238223,9.580412,99.871525,0.177429,3.397954,0.003276,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 8 - 6.2 - I74,1,6.000000,19.000000,16.000000,6.000000,13.421053,10.000000,0.219608,0.231579,0.200000,0.500000,0.000000,5928.000000,17992.285714,0.047067,0.029514,932.839834,155.473306,0.444402,1.227920,63.129654,0.067675,0.638980,0.000000,0.000000,0.000000,0.000000
ID,2016-10-24 to 2016-10-30,Group 8 - 6.2 - I74,2,6.000000,156.000000,103.000000,6.000000,31.634615,10.000000,0.171429,0.189103,0.100000,1.500000,0.007092,66887.000000,16562.000000,0.576938,0.571181,1200.717695,200.119616,0.621419,7.704029,790.329703,0.658214,0.708963,0.002274,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 1 - 1.3 - I80,1,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17953.285714,0.000000,0.000000,361.108132,51.586876,0.172404,1.843445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 1 - 1.3 - I80,2,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20900.714286,0.000000,0.000000,182.891958,26.127423,0.075005,1.622005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 1a,1,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 1a,2,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 1c,1,7.000000,2.000000,1.000000,2.000000,5.000000,5.000000,0.150000,0.150000,0.150000,0.200000,0.000000,26.000000,3472.428571,0.001041,0.000992,1.287625,0.183946,0.003179,0.589952,0.071960,0.055886,0.170656,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 1c,2,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4668.142857,0.000000,0.000000,10.251210,1.464459,0.018823,0.365810,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 1q,1,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2259.714286,0.000000,0.000000,0.006852,0.000979,0.000026,0.006593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 1q,2,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2422.428571,0.000000,0.000000,0.002228,0.000318,0.000008,0.006064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 1r,1,7.000000,4.000000,2.000000,4.000000,7.500000,5.000000,0.316667,0.325000,0.300000,0.600000,0.000000,472.000000,9451.285714,0.007127,0.002976,96.315317,13.759331,0.087350,1.042097,5.103226,0.052985,0.649403,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 1r,2,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9549.571429,0.000000,0.000000,21.207793,3.029685,0.019036,0.307005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 2a,1,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 2a,2,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 5 - 4.1 - I29,1,7.000000,143.000000,90.000000,7.000000,12.097902,5.000000,0.302312,0.287413,0.200000,1.200000,0.002890,14698.000000,15199.000000,0.138143,0.171627,1411.041248,201.577321,0.795755,3.124892,287.584817,0.203810,1.174024,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 5 - 4.1 - I29,2,7.000000,15.000000,0.000000,6.000000,7.666667,5.000000,0.217391,0.266667,0.200000,1.400000,0.043478,372.000000,19195.142857,0.002765,0.011409,2083.877769,297.696824,0.930540,3.736849,13.555235,0.006505,2.189516,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 5 - 4.1 - I80,1,7.000000,2.000000,0.000000,2.000000,5.000000,5.000000,0.150000,0.150000,0.150000,0.200000,0.000000,21.000000,21617.285714,0.000133,0.000992,1678.585385,239.797912,0.665574,2.384963,0.732138,0.000436,2.180837,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 5 - 4.1 - I80,2,7.000000,52.000000,15.000000,6.000000,7.788462,5.000000,0.119753,0.119231,0.100000,0.500000,0.000000,4313.000000,25023.428571,0.024620,0.040179,1665.733933,237.961990,0.570575,1.778562,57.472021,0.034503,0.799595,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 5b and 5.4,1,7.000000,24.000000,22.000000,3.000000,21.666667,10.000000,1.471154,1.775000,1.900000,3.100000,0.663462,2313.000000,7022.857143,0.047047,0.051587,492.329375,70.332768,0.600892,7.764421,114.280572,0.232122,2.964690,0.004245,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 5b and 5.4,2,7.000000,10.000000,7.000000,3.000000,8.000000,5.000000,1.287500,1.270000,0.900000,3.500000,0.500000,326.000000,7679.285714,0.006052,0.007937,511.479717,73.068531,0.570906,9.350560,11.905305,0.023276,2.195651,0.000539,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 5d,1,7.000000,8.000000,6.000000,4.000000,6.875000,5.000000,1.881818,1.675000,1.400000,3.500000,0.636364,176.000000,3978.142857,0.006320,0.005456,194.872097,27.838871,0.419889,5.556670,10.653988,0.054672,3.632041,0.002119,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 5d,2,7.000000,1.000000,0.000000,1.000000,5.000000,5.000000,0.400000,0.400000,0.400000,0.400000,0.000000,6.000000,6179.142857,0.000129,0.000496,577.339273,82.477039,0.800870,2.420009,0.213403,0.000370,2.286462,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 5f,1,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 5f,2,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 6 - 3.2 3a 3b - I29,1,7.000000,145.000000,88.000000,7.000000,7.206897,5.000000,0.189952,0.205517,0.100000,1.000000,0.000000,20921.000000,30412.571429,0.098269,0.103671,3150.549412,450.078487,0.887946,2.970716,362.545937,0.115074,1.039787,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 6 - 3.2 3a 3b - I29,2,7.000000,126.000000,46.000000,7.000000,18.333333,5.000000,0.477706,0.365873,0.200000,2.000000,0.086580,18826.000000,31676.142857,0.084904,0.229167,6268.676259,895.525180,1.696282,5.962770,763.736943,0.121834,2.434106,0.001293,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 6 - 3.2 3a 3b - US20,1,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33939.571429,0.000000,0.000000,438.716335,62.673762,0.110798,0.989264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 6 - 3.2 3a 3b - US20,2,7.000000,16.000000,0.000000,5.000000,7.812500,5.000000,0.180000,0.200000,0.200000,0.400000,0.000000,204.000000,33515.000000,0.000867,0.012401,594.748193,84.964028,0.152107,0.982181,2.325396,0.003910,0.685620,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 6a,1,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 6a,2,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 6c,1,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15705.285714,0.000000,0.000000,74.197156,10.599594,0.040495,0.631387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 6c,2,7.000000,3.000000,2.000000,2.000000,13.333333,10.000000,0.275000,0.266667,0.300000,0.400000,0.000000,498.000000,18250.571429,0.003898,0.003968,260.193026,37.170432,0.122201,1.822803,6.024591,0.023154,0.725854,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 6d,1,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 6d,2,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 6e,1,7.000000,2.000000,2.000000,2.000000,17.500000,17.500000,1.057143,1.050000,1.050000,1.400000,0.714286,523.000000,17732.000000,0.004212,0.003472,17.426244,2.489463,0.008424,2.412943,12.436898,0.713688,1.427185,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 6e,2,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19345.285714,0.000000,0.000000,11.690605,1.670086,0.005180,0.600783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 6gh,1,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26865.000000,0.000000,0.000000,503.958615,71.994088,0.160791,0.656012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 6gh,2,7.000000,3.000000,0.000000,1.000000,8.333333,10.000000,0.180000,0.233333,0.200000,0.400000,0.000000,68.000000,25789.428571,0.000375,0.002480,589.517415,84.216774,0.195933,0.824020,0.706917,0.001199,0.626052,0.000000,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 8 - 6.2 - I74,1,7.000000,28.000000,24.000000,7.000000,19.642857,5.000000,0.840000,0.357143,0.200000,2.300000,0.454545,11849.000000,23122.000000,0.073208,0.054563,1553.890651,221.984379,0.576034,8.693455,377.321562,0.242824,1.910662,0.002787,0.000000,0.000000,0.000000
ID,2016-10-31 to 2016-11-06,Group 8 - 6.2 - I74,2,7.000000,192.000000,112.000000,7.000000,37.916667,15.000000,0.159135,0.188542,0.200000,0.800000,0.000000,100430.000000,20988.857143,0.683561,0.722222,1472.605222,210.372175,0.601384,1.791441,1077.283319,0.731549,0.643603,0.000000,0.000000,0.000000,0.000000
ID,2016-11-07 to 2016-11-13,Group 1 - 1.3 - I80,1,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18109.285714,0.000000,0.000000,325.915916,46.559417,0.154263,1.494357,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ID,2016-11-07 to 2016-11-13,Group 1 - 1.3 - I80,2,7.000000,2.000000,1.000000,2.000000,5.000000,5.000000,0.250000,0.250000,0.250000,0.400000,0.000000,118.000000,20849.857143,0.000807,0.000992,173.392892,24.770413,0.071282,1.520644,2.761895,0.015929,1.407335,0.000000,0.000000,0.000000,0.000000
ID,2016-11-07 to 2016-11-13,Group 1a,1,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,0.000000,0.000000
ID,2016-11-07 to 2016-11-13,Group 1a,2,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000,0.000000,0.000000,0.000000,NaN,NaN,0.000000,0.000000
ID,2016-11-07 to 2016-11-13,Group 1c,1,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3697.857143,0.000000,0.000000,1.264900,0.180700,0.002932,0.836437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
